|lat|lon|season|fishingHours|fishingDays|meanFishingHours|meanFishingDays|nCount|medianFishingHoursPerMonth|flagOne|cuantilDays|cuantilHours|decilDays|decilHours|logFishingHours|logFishingDays|lonTimesFishing|sumfishingHoursPerMonth|distance|fishingHoursTimesDistance
96|-18.3|-71.3|verano|123.69|8.0|30.9225|2.0|98|10.27375|1|83|84|9|9|4.817778435386918|2.0794415416798357|-3.08411475145255|237.51333333333332|0.5855481842683844|0.0002288528420065732
97|-18.3|-71.2|verano|60.29|4.0|30.145|2.0|50|20.515|1|83|83|9|9|4.099166252501314|1.3862943611198906|-6.1498357986920045|237.51333333333332|0.5355311424184421|0.00010202088744271014
98|-18.3|-71.1|verano|51.23|4.0|17.076666666666664|1.3333333333333333|39|13.82|1|75|75|8|8|3.936325297951111|1.3862943611198906|-4.1370393241081205|237.51333333333332|0.4679824831123452|7.575530224824384e-05
99|-18.3|-71.0|verano|7.529999999999999|2.0|3.7649999999999997|1.0|7|2.405|1|3|42|1|5|2.018895041811802|0.6931471805599453|-0.7189280601790777|237.51333333333332|0.41232017807436505|9.810443635080085e-06
100|-18.3|-70.9|verano|4.67|3.0|1.5566666666666666|1.0|4|1.04|1|3|22|1|3|1.541159071680806|1.0986122886681098|-0.3104499396525108|237.51333333333332|0.34881226827621886|5.147160537083029e-06
101|-18.3|-70.8|verano|23.08|4.0|5.77|1.0|22|3.125|1|3|53|1|6|3.138966441639899|1.3862943611198906|-0.9315266511353749|237.51333333333332|0.2816304047861328|2.0538769728469056e-05
102|-18.3|-70.7|verano|23.04|2.0|11.52|1.0|10|11.2825|1|3|69|1|7|3.1372318358276905|0.6931471805599453|-3.358433561624611|237.51333333333332|0.2306163707641223|1.6789265231735915e-05
103|-18.3|-70.6|verano|49.61|5.0|16.536666666666665|1.6666666666666667|43|1.46|1|80|75|8|8|3.9041924263129575|1.6094379124341003|-0.4339798467454459|237.51333333333332|0.18417910931356524|2.8871455421265527e-05
104|-18.3|-70.5|verano|30.06|2.0|30.06|2.0|19|10.02|1|83|83|9|9|3.4031953843248286|0.6931471805599453|-2.974190922614871|237.51333333333332|0.12885323881290534|1.223892849638862e-05
105|-18.3|-70.4|verano|4.43|1.0|4.43|1.0|3|4.43|1|3|47|1|5|1.4883995840570443|0.0|-1.3130715468605272|237.51333333333332|0.0747044498439237|1.0457052295847363e-06
106|-18.2|-75.4|verano|9.98|1.0|9.98|1.0|11|9.98|1|3|66|1|7|2.300583090323373|0.0|-3.728168615753022|201.83958333333334|2.671980555561736|8.426028361859279e-05
107|-18.2|-75.3|verano|4.38|1.0|4.38|1.0|5|4.38|1|3|46|1|5|1.4770487243883548|0.0|-1.634040234096797|201.83958333333334|2.615696135617853|3.620099297863629e-05
108|-18.2|-74.6|verano|1.58|1.0|1.58|1.0|2|1.58|1|3|22|1|3|0.4574248470388755|0.0|-0.5839687045198848|201.83958333333334|2.276234889658796|1.1364052848416983e-05
109|-18.2|-74.4|verano|2.66|1.0|2.66|1.0|4|2.66|1|3|34|1|4|0.9783261227936078|0.0|-0.9805014295593655|201.83958333333334|2.2005084123674714|1.8495401001521046e-05
110|-18.2|-74.3|verano|0.33|1.0|0.33|1.0|1|0.33|1|3|5|1|1|-1.1086626245216111|0.0|-0.1214776586191592|201.83958333333334|2.1685786296327825|2.2612479987550984e-06
111|-18.2|-74.2|verano|3.8600000000000003|1.0|3.8600000000000003|1.0|3|1.9300000000000002|1|3|43|1|5|1.3506671834767396|0.0|-0.7095040409566179|201.83958333333334|2.1334432422963574|2.602120954872719e-05
112|-18.2|-74.1|verano|12.52|1.0|12.52|1.0|15|6.26|1|3|70|1|7|2.5273273656719524|0.0|-2.2981914267724983|201.83958333333334|2.089153433355238|8.264826628490297e-05
113|-18.2|-74.0|verano|38.55|2.0|38.55|2.0|32|19.275|1|83|87|9|9|3.6519561000093383|0.6931471805599453|-7.066750616723263|201.83958333333334|2.0487908795433443|0.00024956351650692085
114|-18.2|-73.9|verano|9.33|1.0|9.33|1.0|10|4.665|1|3|64|1|7|2.2332350148592526|0.0|-1.7080073903574415|201.83958333333334|2.0028909287577292|5.904702555835849e-05
115|-18.2|-73.8|verano|6.47|1.0|6.47|1.0|9|6.47|1|3|55|1|6|1.8671761085128091|0.0|-2.3656707575116376|201.83958333333334|1.96024286059151|4.007497345937678e-05
116|-18.2|-73.7|verano|0.62|2.0|0.31|1.0|2|0.31|1|3|4|1|1|-0.4780358009429998|0.6931471805599453|-0.11319385237864228|201.83958333333334|1.920391414113284|3.76218828767871e-06
117|-18.2|-73.6|verano|2.83|1.0|2.83|1.0|1|2.83|1|3|36|1|4|1.0402767116551463|0.0|-1.0319482262109967|201.83958333333334|1.8721520193082617|1.6741201672550887e-05
118|-18.2|-73.5|verano|0.61|1.0|0.61|1.0|1|0.61|1|3|8|1|1|-0.4942963218147801|0.0|-0.2221318497569233|201.83958333333334|1.8281146526955059|3.52364661389678e-06
