lat|lon|season_year|season|fishingHours|nCount|nMonths|fishingDays|logFishingHours|logFishinDays|flagOne
-18.3|-74.2|2023|verano|0.67|1|1|1.0|-0.40047756659712525|0.0|1
-18.3|-74.1|2023|verano|13.38|19|2|1.0|2.5937610547000824|0.0|1
-18.3|-74.0|2023|verano|20.62|20|2|1.0|3.026261478588814|0.0|1
-18.3|-73.9|2023|verano|25.85|26|2|2.0|3.2523106009544382|0.6931471805599453|1
-18.3|-73.8|2023|verano|49.71|42|1|3.0|3.906206120106581|1.0986122886681098|1
-18.3|-73.7|2023|verano|0.18|2|1|1.0|-1.7147984280919266|0.0|1
-18.3|-73.6|2018|verano|6.6499999999999995|6|1|1.0|1.8946168546677626|0.0|1
-18.3|-73.6|2023|verano|3.09|2|1|1.0|1.128171090909654|0.0|1
-18.3|-72.4|2020|verano|22.43|15|1|1.0|3.110399348532117|0.0|1
-18.3|-72.3|2020|verano|10.63|12|1|1.0|2.363680192353857|0.0|1
-18.3|-72.3|2023|verano|1.21|1|1|1.0|0.1906203596086497|0.0|1
-18.3|-72.2|2020|verano|13.34|18|2|1.0|2.590767040487478|0.0|1
-18.3|-72.2|2023|verano|2.45|2|1|1.0|0.8960880245566357|0.0|1
-18.3|-72.1|2020|verano|4.99|4|2|1.0|1.6074359097634274|0.0|1
-18.3|-72.1|2023|verano|1.1400000000000001|2|1|1.0|0.1310282624064042|0.0|1
-18.3|-72.0|2020|verano|5.4|5|2|1.0|1.6863989535702288|0.0|1
-18.3|-72.0|2024|verano|9.57|1|1|1.0|2.258633205464863|0.0|1
-18.3|-71.9|2019|verano|0.78|1|1|1.0|-0.2484613592984996|0.0|1
-18.3|-71.9|2020|verano|4.67|6|3|1.0|1.541159071680806|0.0|1
-18.3|-71.9|2023|verano|7.79|7|1|1.0|2.052840859882657|0.0|1
-18.3|-71.9|2024|verano|3.6900000000000004|2|1|1.0|1.305626458052436|0.0|1
-18.3|-71.8|2019|verano|6.83|5|1|1.0|1.9213246735826988|0.0|1
-18.3|-71.8|2020|verano|25.63|23|2|2.0|3.24376354037598|0.6931471805599453|1
-18.3|-71.8|2023|verano|1.9100000000000001|3|1|1.0|0.6471032420585385|0.0|1
-18.3|-71.8|2024|verano|2.31|1|1|1.0|0.8372475245337022|0.0|1
-18.3|-71.7|2019|verano|5.33|4|1|1.0|1.673351238177753|0.0|1
-18.3|-71.7|2024|verano|5.5|2|2|1.0|1.7047480922384253|0.0|1
-18.3|-71.6|2019|verano|20.47|22|2|1.0|3.018960399673198|0.0|1
-18.3|-71.6|2024|verano|23.5|15|3|1.0|3.1570004211501135|0.0|1
-18.3|-71.5|2019|verano|12.4|12|4|1.0|2.517696472610991|0.0|1
-18.3|-71.5|2020|verano|16.9|8|2|1.0|2.8273136219290276|0.0|1
-18.3|-71.5|2024|verano|8.030000000000001|3|2|1.0|2.0831845279586703|0.0|1
-18.3|-71.4|2019|verano|39.71|34|4|2.0|3.6816030451431603|0.6931471805599453|1
-18.3|-71.4|2020|verano|21.71|21|3|1.0|3.0777729838902004|0.0|1
-18.3|-71.3|2019|verano|69.63|54|4|3.0|4.2431955089544555|1.0986122886681098|1
-18.3|-71.3|2020|verano|50.64|42|2|3.0|3.9247417778359206|1.0986122886681098|1
-18.3|-71.3|2021|verano|0.28|1|1|1.0|-1.2729656758128873|0.0|1
-18.3|-71.3|2024|verano|3.14|1|1|1.0|1.144222799920162|0.0|1
-18.3|-71.2|2019|verano|25.68|21|4|2.0|3.2457124788217606|0.6931471805599453|1
-18.3|-71.2|2020|verano|34.61|29|1|2.0|3.544142657647253|0.6931471805599453|1
-18.3|-71.1|2019|verano|27.64|21|2|2.0|3.319263998899469|0.6931471805599453|1
-18.3|-71.1|2020|verano|22.119999999999997|16|1|1.0|3.096482176654134|0.0|1
-18.3|-71.1|2022|verano|1.4700000000000002|2|1|1.0|0.38526240079064505|0.0|1
-18.3|-71.0|2019|verano|5.4399999999999995|4|2|1.0|1.6937790608678511|0.0|1
-18.3|-71.0|2020|verano|2.09|3|1|1.0|0.7371640659767196|0.0|1
-18.3|-70.9|2018|verano|1.04|1|1|1.0|0.03922071315328133|0.0|1
-18.3|-70.9|2022|verano|0.85|1|1|1.0|-0.16251892949777494|0.0|1
-18.3|-70.9|2024|verano|2.78|2|1|1.0|1.0224509277025455|0.0|1
-18.3|-70.8|2018|verano|8.26|7|1|1.0|2.1114245875328868|0.0|1
-18.3|-70.8|2019|verano|7.3500000000000005|9|2|1.0|1.9947003132247454|0.0|1
-18.3|-70.8|2020|verano|2.32|1|1|1.0|0.8415671856782185|0.0|1
-18.3|-70.8|2024|verano|5.15|5|2|1.0|1.6389967146756448|0.0|1
-18.3|-70.7|2019|verano|0.95|2|2|1.0|-0.05129329438755058|0.0|1
-18.3|-70.7|2024|verano|22.09|8|1|1.0|3.095125017432026|0.0|1
-18.3|-70.6|2019|verano|0.14|1|1|1.0|-1.9661128563728327|0.0|1
-18.3|-70.6|2021|verano|1.46|2|1|1.0|0.37843643572024505|0.0|1
-18.3|-70.6|2024|verano|48.01|40|2|3.0|3.8714093225428488|1.0986122886681098|1
-18.3|-70.5|2024|verano|30.06|19|3|2.0|3.4031953843248286|0.6931471805599453|1
-18.3|-70.4|2024|verano|4.43|3|1|1.0|1.4883995840570443|0.0|1
-18.2|-75.4|2023|verano|9.98|11|1|1.0|2.300583090323373|0.0|1
-18.2|-75.3|2023|verano|4.38|5|1|1.0|1.4770487243883548|0.0|1
-18.2|-74.6|2023|verano|1.58|2|1|1.0|0.4574248470388755|0.0|1
-18.2|-74.4|2023|verano|2.66|4|1|1.0|0.9783261227936078|0.0|1
-18.2|-74.3|2023|verano|0.33|1|1|1.0|-1.1086626245216111|0.0|1
-18.2|-74.2|2023|verano|3.8600000000000003|3|2|1.0|1.3506671834767396|0.0|1
-18.2|-74.1|2023|verano|12.52|15|2|1.0|2.5273273656719524|0.0|1
-18.2|-74.0|2023|verano|38.55|32|2|2.0|3.6519561000093383|0.6931471805599453|1
-18.2|-73.9|2023|verano|9.33|10|2|1.0|2.2332350148592526|0.0|1
-18.2|-73.8|2023|verano|6.47|9|1|1.0|1.8671761085128091|0.0|1
-18.2|-73.7|2018|verano|0.39|1|1|1.0|-0.941608539858445|0.0|1
-18.2|-73.7|2023|verano|0.23|1|1|1.0|-1.4696759700589417|0.0|1
-18.2|-73.6|2018|verano|2.83|1|1|1.0|1.0402767116551463|0.0|1
-18.2|-73.5|2017|verano|0.61|1|1|1.0|-0.4942963218147801|0.0|1
-18.2|-73.4|2017|verano|0.71|1|1|1.0|-0.342490308946776|0.0|1
-18.2|-73.3|2019|verano|0.72|1|1|1.0|-0.3285040669720361|0.0|1
-18.2|-73.2|2019|verano|5.6899999999999995|4|1|1.0|1.7387102481382395|0.0|1
-18.2|-72.9|2017|verano|13.02|5|2|1.0|2.5664866367804233|0.0|1
-18.2|-72.9|2023|verano|0.6|1|1|1.0|-0.5108256237659907|0.0|1
-18.2|-72.8|2017|verano|1.27|1|1|1.0|0.23901690047049992|0.0|1
-18.2|-72.8|2023|verano|3.11|3|1|1.0|1.1346227261911428|0.0|1
-18.2|-72.7|2023|verano|1.94|2|1|1.0|0.6626879730752367|0.0|1
-18.2|-72.6|2023|verano|15.14|12|1|1.0|2.717340248009303|0.0|1
-18.2|-72.5|2023|verano|12.93|10|1|1.0|2.559550192783766|0.0|1
-18.2|-72.4|2023|verano|3.1399999999999997|3|1|1.0|1.144222799920162|0.0|1
-18.2|-72.3|2020|verano|0.08|1|1|1.0|-2.5257286443082556|0.0|1
-18.2|-72.3|2022|verano|2.16|2|1|1.0|0.7701082216960737|0.0|1
-18.2|-72.2|2019|verano|2.31|3|1|1.0|0.8372475245337022|0.0|1
-18.2|-72.2|2020|verano|21.43|23|2|1.0|3.064791809485486|0.0|1
-18.2|-72.2|2024|verano|0.63|2|1|1.0|-0.4620354595965587|0.0|1
-18.2|-72.1|2019|verano|2.12|3|1|1.0|0.7514160886839212|0.0|1
-18.2|-72.1|2020|verano|49.4|37|2|3.0|3.899950424193877|1.0986122886681098|1
-18.2|-72.1|2023|verano|6.08|4|1|1.0|1.8050046959780757|0.0|1
-18.2|-72.0|2019|verano|6.1|4|2|1.0|1.8082887711792655|0.0|1
-18.2|-72.0|2020|verano|18.21|17|2|1.0|2.9019708937395166|0.0|1
-18.2|-72.0|2022|verano|2.5|2|1|1.0|0.9162907318741551|0.0|1
-18.2|-72.0|2023|verano|1.2|1|1|1.0|0.1823215567939546|0.0|1
-18.2|-71.9|2019|verano|3.98|4|1|1.0|1.3812818192963463|0.0|1
-18.2|-71.9|2020|verano|9.450000000000001|11|2|1.0|2.2460147415056513|0.0|1
-18.2|-71.9|2023|verano|1.15|1|1|1.0|0.13976194237515863|0.0|1
-18.2|-71.9|2024|verano|1.73|2|1|1.0|0.5481214085096876|0.0|1
-18.2|-71.8|2019|verano|23.91|15|2|1.0|3.1742967814702334|0.0|1
-18.2|-71.8|2020|verano|5.51|7|2|1.0|1.706564623164823|0.0|1
-18.2|-71.8|2024|verano|4.09|3|1|1.0|1.4085449700547104|0.0|1
-18.2|-71.7|2019|verano|21.509999999999998|21|2|1.0|3.068517943279639|0.0|1
-18.2|-71.7|2020|verano|13.85|15|3|1.0|2.6282852326333477|0.0|1
-18.2|-71.7|2021|verano|2.19|3|1|1.0|0.7839015438284094|0.0|1
-18.2|-71.6|2019|verano|14.709999999999999|15|3|1.0|2.688527534613346|0.0|1
-18.2|-71.6|2020|verano|22.71|17|2|1.0|3.122805356117467|0.0|1
-18.2|-71.6|2021|verano|2.08|1|1|1.0|0.7323678937132266|0.0|1
-18.2|-71.6|2024|verano|16.1|11|3|1.0|2.7788192719904172|0.0|1
-18.2|-71.5|2019|verano|11.53|13|4|1.0|2.4449523342809676|0.0|1
-18.2|-71.5|2020|verano|0.46|2|2|1.0|-0.7765287894989963|0.0|1
-18.2|-71.5|2021|verano|0.82|1|1|1.0|-0.19845093872383832|0.0|1
-18.2|-71.5|2022|verano|0.79|1|1|1.0|-0.23572233352106983|0.0|1
-18.2|-71.5|2024|verano|0.15|1|1|1.0|-1.8971199848858813|0.0|1
-18.2|-71.4|2019|verano|41.67|42|4|2.0|3.7297814454343623|0.6931471805599453|1
-18.2|-71.4|2020|verano|11.98|15|3|1.0|2.4832385926873033|0.0|1
-18.2|-71.3|2019|verano|60.99|46|3|3.0|4.110709916308365|1.0986122886681098|1
-18.2|-71.3|2020|verano|12.06|11|2|1.0|2.4898941912990393|0.0|1
-18.2|-71.2|2019|verano|52.24|59|4|3.0|3.955848484968176|1.0986122886681098|1
-18.2|-71.2|2020|verano|14.16|16|2|1.0|2.6504210882655737|0.0|1
-18.2|-71.2|2022|verano|1.34|2|1|1.0|0.29266961396282004|0.0|1
-18.2|-71.1|2019|verano|23.35|27|3|1.0|3.150596984114906|0.0|1
-18.2|-71.1|2020|verano|2.4899999999999998|3|1|1.0|0.9122827104766161|0.0|1
-18.2|-71.0|2018|verano|1.7799999999999998|2|1|1.0|0.5766133643039937|0.0|1
-18.2|-71.0|2019|verano|3.23|4|2|1.0|1.172482137234565|0.0|1
-18.2|-71.0|2020|verano|10.91|14|1|1.0|2.3896797998449792|0.0|1
-18.2|-71.0|2021|verano|8.52|6|1|1.0|2.1424163408412245|0.0|1
-18.2|-71.0|2024|verano|14.659999999999998|5|2|1.0|2.6851226964585053|0.0|1
-18.2|-70.9|2018|verano|12.040000000000001|7|1|1.0|2.4882344398806753|0.0|1
-18.2|-70.9|2019|verano|10.25|12|1|1.0|2.327277705584417|0.0|1
-18.2|-70.9|2020|verano|2.16|3|1|1.0|0.7701082216960737|0.0|1
-18.2|-70.9|2021|verano|3.06|4|2|1.0|1.1184149159642893|0.0|1
-18.2|-70.9|2023|verano|4.1|4|1|1.0|1.410986973710262|0.0|1
-18.2|-70.9|2024|verano|9.19|6|2|1.0|2.2181159363675955|0.0|1
-18.2|-70.8|2017|verano|1.5|1|1|1.0|0.4054651081081644|0.0|1
-18.2|-70.8|2018|verano|8.62|7|2|1.0|2.1540850846756014|0.0|1
-18.2|-70.8|2019|verano|11.59|15|1|1.0|2.4501426573516603|0.0|1
-18.2|-70.8|2021|verano|4.77|4|1|1.0|1.5623463049002497|0.0|1
-18.2|-70.8|2023|verano|0.57|1|1|1.0|-0.5621189181535413|0.0|1
-18.2|-70.8|2024|verano|43.3|17|3|2.0|3.768152635008444|0.6931471805599453|1
-18.2|-70.7|2024|verano|35.11|14|3|2.0|3.558485990180341|0.6931471805599453|1
-18.2|-70.6|2024|verano|12.75|8|3|1.0|2.545531271604435|0.0|1
-18.1|-75.4|2023|verano|2.44|1|1|1.0|0.8919980393051105|0.0|1
-18.1|-74.6|2023|verano|0.35|1|1|1.0|-1.0498221244986778|0.0|1
-18.1|-74.1|2023|verano|5.7|5|1|1.0|1.7404661748405046|0.0|1
-18.1|-74.0|2023|verano|34.94|27|1|2.0|3.5536323047059106|0.6931471805599453|1
-18.1|-73.9|2023|verano|1.85|2|2|1.0|0.6151856390902335|0.0|1
-18.1|-73.7|2023|verano|36.33|20|2|2.0|3.5926438462331105|0.6931471805599453|1
-18.1|-73.6|2017|verano|2.71|2|1|1.0|0.9969486348916096|0.0|1
-18.1|-73.6|2018|verano|0.29|1|1|1.0|-1.2378743560016174|0.0|1
-18.1|-73.6|2023|verano|7.1|6|1|1.0|1.9600947840472698|0.0|1
-18.1|-73.5|2017|verano|10.94|7|1|1.0|2.392425796993835|0.0|1
-18.1|-73.5|2023|verano|1.13|2|1|1.0|0.12221763272424911|0.0|1
-18.1|-73.3|2017|verano|0.82|1|1|1.0|-0.19845093872383832|0.0|1
-18.1|-73.3|2023|verano|0.53|1|1|1.0|-0.6348782724359695|0.0|1
-18.1|-73.2|2017|verano|1.11|1|1|1.0|0.10436001532424286|0.0|1
-18.1|-73.2|2023|verano|4.05|4|1|1.0|1.3987168811184478|0.0|1
-18.1|-73.1|2017|verano|0.07|1|1|1.0|-2.659260036932778|0.0|1
-18.1|-73.1|2023|verano|0.26|1|1|1.0|-1.3470736479666092|0.0|1
-18.1|-73.0|2023|verano|3.82|4|1|1.0|1.3402504226184837|0.0|1
-18.1|-72.9|2023|verano|1.98|2|1|1.0|0.6830968447064438|0.0|1
-18.1|-72.8|2023|verano|2.75|4|2|1.0|1.0116009116784799|0.0|1
-18.1|-72.7|2023|verano|3.13|3|1|1.0|1.1410330045520618|0.0|1
-18.1|-72.6|2017|verano|11.48|9|1|1.0|2.4406063908914204|0.0|1
-18.1|-72.6|2022|verano|5.91|4|1|1.0|1.776645831418007|0.0|1
-18.1|-72.6|2023|verano|0.16|1|1|1.0|-1.8325814637483102|0.0|1
-18.1|-72.5|2020|verano|2.2|2|1|1.0|0.7884573603642703|0.0|1
-18.1|-72.5|2022|verano|3.37|3|1|1.0|1.2149127443642704|0.0|1
-18.1|-72.5|2023|verano|6.85|6|1|1.0|1.9242486522741338|0.0|1
-18.1|-72.3|2019|verano|5.36|4|1|1.0|1.6789639750827108|0.0|1
-18.1|-72.3|2020|verano|1.79|3|1|1.0|0.5822156198526637|0.0|1
-18.1|-72.3|2022|verano|1.08|2|1|1.0|0.0769610411361284|0.0|1
-18.1|-72.2|2020|verano|16.79|20|2|1.0|2.8207834710894493|0.0|1
-18.1|-72.2|2022|verano|5.48|3|1|1.0|1.7011051009599243|0.0|1
-18.1|-72.1|2020|verano|14.79|15|2|1.0|2.6939512767227085|0.0|1
-18.1|-72.1|2023|verano|5.74|7|1|1.0|1.747459210331475|0.0|1
-18.1|-72.0|2019|verano|11.370000000000001|13|1|1.0|2.430978307762445|0.0|1
-18.1|-72.0|2020|verano|13.31|15|3|1.0|2.58851563240702|0.0|1
-18.1|-72.0|2022|verano|6.27|5|1|1.0|1.8357763546448294|0.0|1
-18.1|-71.9|2019|verano|10.19|12|1|1.0|2.321406847234633|0.0|1
-18.1|-71.9|2020|verano|7.66|3|1|1.0|2.0360119837525|0.0|1
-18.1|-71.9|2022|verano|0.94|1|1|1.0|-0.06187540371808753|0.0|1
-18.1|-71.8|2019|verano|12.02|12|2|1.0|2.4865719291070616|0.0|1
-18.1|-71.8|2020|verano|23.55|11|2|1.0|3.159125820462427|0.0|1
-18.1|-71.8|2023|verano|0.82|1|1|1.0|-0.19845093872383832|0.0|1
-18.1|-71.8|2024|verano|3.84|2|1|1.0|1.3454723665996355|0.0|1
-18.1|-71.7|2019|verano|22.03|20|3|1.0|3.092405160814252|0.0|1
-18.1|-71.7|2020|verano|5.59|6|2|1.0|1.7209792871670078|0.0|1
-18.1|-71.6|2019|verano|8.55|9|3|1.0|2.145931282948669|0.0|1
-18.1|-71.6|2020|verano|22.919999999999998|21|3|1.0|3.132009891846539|0.0|1
-18.1|-71.6|2024|verano|2.95|4|3|1.0|1.0818051703517284|0.0|1
-18.1|-71.5|2019|verano|34.08|22|3|2.0|3.528710701961115|0.6931471805599453|1
-18.1|-71.5|2020|verano|6.75|7|2|1.0|1.9095425048844386|0.0|1
-18.1|-71.5|2022|verano|6.4|2|1|1.0|1.8562979903656263|0.0|1
-18.1|-71.5|2023|verano|2.0|1|1|1.0|0.6931471805599453|0.0|1
-18.1|-71.4|2019|verano|53.32|49|4|3.0|3.976311495310508|1.0986122886681098|1
-18.1|-71.4|2020|verano|9.48|8|1|1.0|2.2491843162669305|0.0|1
-18.1|-71.4|2022|verano|0.23|1|1|1.0|-1.4696759700589417|0.0|1
-18.1|-71.3|2019|verano|43.28|40|3|2.0|3.767690634538226|0.6931471805599453|1
-18.1|-71.3|2020|verano|9.9|7|1|1.0|2.2925347571405443|0.0|1
-18.1|-71.3|2024|verano|0.89|2|2|1.0|-0.11653381625595151|0.0|1
-18.1|-71.2|2019|verano|32.1|36|3|2.0|3.4688560301359703|0.6931471805599453|1
-18.1|-71.2|2020|verano|4.25|5|1|1.0|1.4469189829363254|0.0|1
-18.1|-71.1|2018|verano|0.15|1|1|1.0|-1.8971199848858813|0.0|1
-18.1|-71.1|2019|verano|27.48|25|4|2.0|3.3134584673541485|0.6931471805599453|1
-18.1|-71.1|2020|verano|2.61|3|1|1.0|0.959350221334602|0.0|1
-18.1|-71.1|2021|verano|0.67|1|1|1.0|-0.40047756659712525|0.0|1
-18.1|-71.1|2022|verano|1.58|1|1|1.0|0.4574248470388755|0.0|1
-18.1|-71.1|2023|verano|1.21|1|1|1.0|0.1906203596086497|0.0|1
-18.1|-71.1|2024|verano|2.7|1|1|1.0|0.9932517730102834|0.0|1
-18.1|-71.0|2018|verano|3.86|4|2|1.0|1.3506671834767394|0.0|1
-18.1|-71.0|2019|verano|7.77|10|2|1.0|2.050270164379556|0.0|1
-18.1|-71.0|2020|verano|4.48|4|1|1.0|1.4996230464268938|0.0|1
-18.1|-71.0|2021|verano|2.57|2|2|1.0|0.9439058989071284|0.0|1
-18.1|-71.0|2023|verano|0.5|2|1|1.0|-0.6931471805599453|0.0|1
-18.1|-71.0|2024|verano|29.93|10|2|2.0|3.3988613218646075|0.6931471805599453|1
-18.1|-70.9|2018|verano|9.36|6|1|1.0|2.2364452904895007|0.0|1
-18.1|-70.9|2019|verano|1.81|2|1|1.0|0.5933268452777344|0.0|1
-18.1|-70.9|2020|verano|0.72|1|1|1.0|-0.3285040669720361|0.0|1
-18.1|-70.9|2024|verano|22.16|5|2|1.0|3.098288861879083|0.0|1
-18.1|-70.8|2019|verano|10.24|9|1|1.0|2.3263016196113617|0.0|1
-18.1|-70.8|2024|verano|6.9|4|2|1.0|1.9315214116032138|0.0|1
-18.1|-70.7|2024|verano|1.58|1|1|1.0|0.4574248470388755|0.0|1
